Year,Month,Day,Hour,Minute,All,Optimal,,Time-ending,NSW1 Price
2015,1,1,1,0,0,0,,31/12/2014 23:30,44.84
2015,1,1,2,0,0,0,,1/01/2015 0:00,49.08
2015,1,1,3,0,0,0,,1/01/2015 0:30,48.06
2015,1,1,4,0,0,0,,1/01/2015 1:00,47.25
2015,1,1,5,0,3.42E-05,1.03E-05,,1/01/2015 1:30,37.1
2015,1,1,6,0,0.006116503,0.009175251,,1/01/2015 2:00,34.86
2015,1,1,7,0,0.051678435,0.058787238,,1/01/2015 2:30,32.9
2015,1,1,8,0,0.143535602,0.154770317,,1/01/2015 3:00,31.63
2015,1,1,9,0,0.215600224,0.237634849,,1/01/2015 3:30,30.9
2015,1,1,10,0,0.250007378,0.290836967,,1/01/2015 4:00,31.6
2015,1,1,11,0,0.267838104,0.287610249,,1/01/2015 4:30,28.69
2015,1,1,12,0,0.261664561,0.280910538,,1/01/2015 5:00,27.96
2015,1,1,13,0,0.260254263,0.292507348,,1/01/2015 5:30,26.39
2015,1,1,14,0,0.2611078,0.274341266,,1/01/2015 6:00,24.56
2015,1,1,15,0,0.245009092,0.248609637,,1/01/2015 6:30,26.75
2015,1,1,16,0,0.190237287,0.175794416,,1/01/2015 7:00,27.96
2015,1,1,17,0,0.110223628,0.096317454,,1/01/2015 7:30,29.96
2015,1,1,18,0,0.036046037,0.030065861,,1/01/2015 8:00,29.86
2015,1,1,19,0,0.002071858,0.002409621,,1/01/2015 8:30,31.11
2015,1,1,20,0,0,0,,1/01/2015 9:00,33.08
2015,1,1,21,0,0,0,,1/01/2015 9:30,33.79
2015,1,1,22,0,0,0,,1/01/2015 10:00,35.07
2015,1,1,23,0,0,0,,1/01/2015 10:30,37.33
2015,1,2,0,0,0,0,,1/01/2015 11:00,44.16
2015,1,2,1,0,0,0,,1/01/2015 11:30,38.83
2015,1,2,2,0,0,0,,1/01/2015 12:00,40.1
2015,1,2,3,0,0,0,,1/01/2015 12:30,37.32
2015,1,2,4,0,0,0,,1/01/2015 13:00,41.42
2015,1,2,5,0,7.77E-05,4.92E-05,,1/01/2015 13:30,45.62
2015,1,2,6,0,0.015238972,0.01487543,,1/01/2015 14:00,93.79
2015,1,2,7,0,0.067686611,0.074007853,,1/01/2015 14:30,221.18
2015,1,2,8,0,0.129112152,0.145762803,,1/01/2015 15:00,195.9
2015,1,2,9,0,0.18536657,0.197915193,,1/01/2015 15:30,270.47
2015,1,2,10,0,0.256607263,0.234799499,,1/01/2015 16:00,299.67
2015,1,2,11,0,0.291859473,0.281366072,,1/01/2015 16:30,296.95
2015,1,2,12,0,0.306489016,0.298078012,,1/01/2015 17:00,299.6
2015,1,2,13,0,0.304759919,0.293386657,,1/01/2015 17:30,299.6
2015,1,2,14,0,0.279704226,0.287484816,,1/01/2015 18:00,133.67
2015,1,2,15,0,0.188403959,0.185693633,,1/01/2015 18:30,92.57
2015,1,2,16,0,0.110313983,0.106177273,,1/01/2015 19:00,52.34
2015,1,2,17,0,0.052746715,0.052411017,,1/01/2015 19:30,64.03
2015,1,2,18,0,0.028630112,0.026053984,,1/01/2015 20:00,159.9
2015,1,2,19,0,0.002800836,0.002828736,,1/01/2015 20:30,58.92
2015,1,2,20,0,0,0,,1/01/2015 21:00,32.49
2015,1,2,21,0,0,0,,1/01/2015 21:30,41.63
2015,1,2,22,0,0,0,,1/01/2015 22:00,40.35
2015,1,2,23,0,0,0,,1/01/2015 22:30,39.86
2015,1,3,0,0,0,0,,1/01/2015 23:00,36.82
2015,1,3,1,0,0,0,,1/01/2015 23:30,37.43
2015,1,3,2,0,0,0,,2/01/2015 0:00,35.97
2015,1,3,3,0,0,0,,2/01/2015 0:30,39.06
2015,1,3,4,0,0,0,,2/01/2015 1:00,37.78
2015,1,3,5,0,4.59E-05,4.40E-06,,2/01/2015 1:30,32.41
2015,1,3,6,0,0.010251349,0.009661965,,2/01/2015 2:00,32.04
2015,1,3,7,0,0.044810653,0.046215934,,2/01/2015 2:30,28.87
2015,1,3,8,0,0.08471041,0.087483417,,2/01/2015 3:00,34.22
2015,1,3,9,0,0.113257011,0.116674063,,2/01/2015 3:30,39.14
2015,1,3,10,0,0.19523655,0.19758773,,2/01/2015 4:00,36.05
2015,1,3,11,0,0.257921952,0.268427042,,2/01/2015 4:30,32.26
2015,1,3,12,0,0.292129017,0.303439859,,2/01/2015 5:00,27.96
2015,1,3,13,0,0.304353178,0.318940417,,2/01/2015 5:30,29.05
2015,1,3,14,0,0.284211445,0.298512373,,2/01/2015 6:00,29.91
2015,1,3,15,0,0.252366156,0.270163623,,2/01/2015 6:30,35.99
2015,1,3,16,0,0.174418499,0.174218492,,2/01/2015 7:00,37.01
2015,1,3,17,0,0.076347805,0.067896133,,2/01/2015 7:30,37.22
2015,1,3,18,0,0.028491921,0.027893995,,2/01/2015 8:00,39.13
2015,1,3,19,0,0.004394251,0.004975827,,2/01/2015 8:30,125.11
2015,1,3,20,0,0,0,,2/01/2015 9:00,46.94
2015,1,3,21,0,0,0,,2/01/2015 9:30,52.94
2015,1,3,22,0,0,0,,2/01/2015 10:00,181.16
2015,1,3,23,0,0,0,,2/01/2015 10:30,280.25
2015,1,4,0,0,0,0,,2/01/2015 11:00,264.5
2015,1,4,1,0,0,0,,2/01/2015 11:30,146.14
2015,1,4,2,0,0,0,,2/01/2015 12:00,223.69
2015,1,4,3,0,0,0,,2/01/2015 12:30,299.63
2015,1,4,4,0,0,0,,2/01/2015 13:00,299.8
2015,1,4,5,0,2.85E-05,1.51E-05,,2/01/2015 13:30,299.77
2015,1,4,6,0,0.012346536,0.012491157,,2/01/2015 14:00,299.73
2015,1,4,7,0,0.055435868,0.060704363,,2/01/2015 14:30,299.6
2015,1,4,8,0,0.122765515,0.129771612,,2/01/2015 15:00,299.63
2015,1,4,9,0,0.173871712,0.177566753,,2/01/2015 15:30,131.74
2015,1,4,10,0,0.231314325,0.249582875,,2/01/2015 16:00,148.35
2015,1,4,11,0,0.247770073,0.255191173,,2/01/2015 16:30,173.44
2015,1,4,12,0,0.284205148,0.280545887,,2/01/2015 17:00,159.86
2015,1,4,13,0,0.27762734,0.267295429,,2/01/2015 17:30,64.67
2015,1,4,14,0,0.275410088,0.274179845,,2/01/2015 18:00,50.75
2015,1,4,15,0,0.269559876,0.267713752,,2/01/2015 18:30,52.67
2015,1,4,16,0,0.210304366,0.195679557,,2/01/2015 19:00,50.02
2015,1,4,17,0,0.114599656,0.099820739,,2/01/2015 19:30,79.02
2015,1,4,18,0,0.047006884,0.03888386,,2/01/2015 20:00,45.16
2015,1,4,19,0,0.006373012,0.005774627,,2/01/2015 20:30,52.12
2015,1,4,20,0,0,0,,2/01/2015 21:00,53.36
2015,1,4,21,0,0,0,,2/01/2015 21:30,50.45
2015,1,4,22,0,0,0,,2/01/2015 22:00,36.1
2015,1,4,23,0,0,0,,2/01/2015 22:30,41.04
2015,1,5,0,0,0,0,,2/01/2015 23:00,46.39
2015,1,5,1,0,0,0,,2/01/2015 23:30,44.81
