Year,Month,Day,Hour,Minute,All,Optimal
2015,1,1,1,0,0,0
2015,1,1,2,0,0,0
2015,1,1,3,0,0,0
2015,1,1,4,0,0,0
2015,1,1,5,0,6.84693E-05,2.06647E-05
2015,1,1,6,0,0.012233005,0.018350501
2015,1,1,7,0,0.10335687,0.117574475
2015,1,1,8,0,0.287071204,0.309540633
2015,1,1,9,0,0.431200447,0.475269697
2015,1,1,10,0,0.500014755,0.581673934
2015,1,1,11,0,0.535676208,0.575220497
2015,1,1,12,0,0.523329122,0.561821075
2015,1,1,13,0,0.520508526,0.585014696
2015,1,1,14,0,0.522215599,0.548682532
2015,1,1,15,0,0.490018183,0.497219273
2015,1,1,16,0,0.380474574,0.351588832
2015,1,1,17,0,0.220447255,0.192634907
2015,1,1,18,0,0.072092073,0.060131721
2015,1,1,19,0,0.004143715,0.004819241
2015,1,1,20,0,0,0
2015,1,1,21,0,0,0
2015,1,1,22,0,0,0
2015,1,1,23,0,0,0
2015,1,2,0,0,0,0
2015,1,2,1,0,0,0
2015,1,2,2,0,0,0
2015,1,2,3,0,0,0
2015,1,2,4,0,0,0
2015,1,2,5,0,0.000155325,9.83462E-05
2015,1,2,6,0,0.030477943,0.02975086
2015,1,2,7,0,0.135373222,0.148015705
2015,1,2,8,0,0.258224304,0.291525606
2015,1,2,9,0,0.370733139,0.395830385
2015,1,2,10,0,0.513214525,0.469598998
2015,1,2,11,0,0.583718946,0.562732143
2015,1,2,12,0,0.612978031,0.596156024
2015,1,2,13,0,0.609519838,0.586773314
2015,1,2,14,0,0.559408451,0.574969632
2015,1,2,15,0,0.376807918,0.371387266
2015,1,2,16,0,0.220627965,0.212354546
2015,1,2,17,0,0.10549343,0.104822034
2015,1,2,18,0,0.057260223,0.052107968
2015,1,2,19,0,0.005601672,0.005657471
2015,1,2,20,0,0,0
2015,1,2,21,0,0,0
2015,1,2,22,0,0,0
2015,1,2,23,0,0,0
2015,1,3,0,0,0,0
2015,1,3,1,0,0,0
2015,1,3,2,0,0,0
2015,1,3,3,0,0,0
2015,1,3,4,0,0,0
2015,1,3,5,0,9.18748E-05,8.79073E-06
2015,1,3,6,0,0.020502697,0.01932393
2015,1,3,7,0,0.089621306,0.092431867
2015,1,3,8,0,0.169420819,0.174966833
2015,1,3,9,0,0.226514022,0.233348126
2015,1,3,10,0,0.390473099,0.395175459
2015,1,3,11,0,0.515843903,0.536854084
2015,1,3,12,0,0.584258034,0.606879717
2015,1,3,13,0,0.608706356,0.637880833
2015,1,3,14,0,0.568422889,0.597024745
2015,1,3,15,0,0.504732311,0.540327245
2015,1,3,16,0,0.348836998,0.348436984
2015,1,3,17,0,0.15269561,0.135792266
2015,1,3,18,0,0.056983842,0.05578799
2015,1,3,19,0,0.008788501,0.009951653
2015,1,3,20,0,0,0
2015,1,3,21,0,0,0
2015,1,3,22,0,0,0
2015,1,3,23,0,0,0
2015,1,4,0,0,0,0
2015,1,4,1,0,0,0
2015,1,4,2,0,0,0
2015,1,4,3,0,0,0
2015,1,4,4,0,0,0
2015,1,4,5,0,5.70956E-05,3.01633E-05
2015,1,4,6,0,0.024693071,0.024982314
2015,1,4,7,0,0.110871736,0.121408725
2015,1,4,8,0,0.24553103,0.259543223
2015,1,4,9,0,0.347743424,0.355133505
2015,1,4,10,0,0.462628649,0.49916575
2015,1,4,11,0,0.495540145,0.510382346
2015,1,4,12,0,0.568410296,0.561091773
2015,1,4,13,0,0.555254679,0.534590858
2015,1,4,14,0,0.550820176,0.548359689
2015,1,4,15,0,0.539119752,0.535427503
2015,1,4,16,0,0.420608732,0.391359114
2015,1,4,17,0,0.229199312,0.199641478
2015,1,4,18,0,0.094013767,0.077767719
2015,1,4,19,0,0.012746024,0.011549253
2015,1,4,20,0,0,0
2015,1,4,21,0,0,0
2015,1,4,22,0,0,0
2015,1,4,23,0,0,0
2015,1,5,0,0,0,0
2015,1,5,1,0,0,0
2015,1,5,2,0,0,0
2015,1,5,3,0,0,0
2015,1,5,4,0,0,0
2015,1,5,5,0,8.4793E-05,1.00909E-05
2015,1,5,6,0,0.023451613,0.021503311
2015,1,5,7,0,0.129422215,0.142179553
2015,1,5,8,0,0.206952115,0.223939224
2015,1,5,9,0,0.254992773,0.263022937
2015,1,5,10,0,0.306269716,0.300127027
2015,1,5,11,0,0.447922823,0.416913856
2015,1,5,12,0,0.485200202,0.475571595
2015,1,5,13,0,0.367736881,0.381455426
2015,1,5,14,0,0.358617245,0.329359414
2015,1,5,15,0,0.306104388,0.280884958
2015,1,5,16,0,0.233408204,0.219095724
2015,1,5,17,0,0.131927225,0.125791919
2015,1,5,18,0,0.057669523,0.054285578
2015,1,5,19,0,0.006926392,0.007229043
2015,1,5,20,0,0,0
2015,1,5,21,0,0,0
2015,1,5,22,0,0,0
2015,1,5,23,0,0,0
2015,1,6,0,0,0,0
2015,1,6,1,0,0,0
2015,1,6,2,0,0,0
2015,1,6,3,0,0,0
2015,1,6,4,0,0,0
2015,1,6,5,0,9.01949E-05,2.84658E-05
2015,1,6,6,0,0.024526335,0.024116593
2015,1,6,7,0,0.119413092,0.114441367
2015,1,6,8,0,0.291766298,0.280524507
2015,1,6,9,0,0.445438609,0.449590186
2015,1,6,10,0,0.554830208,0.526397342
2015,1,6,11,0,0.642514461,0.606416347
2015,1,6,12,0,0.667465008,0.654584862
2015,1,6,13,0,0.67356234,0.669393355
2015,1,6,14,0,0.59275948,0.58411002
2015,1,6,15,0,0.505465874,0.479665767
2015,1,6,16,0,0.410540206,0.381996207
2015,1,6,17,0,0.252585657,0.218248563
2015,1,6,18,0,0.094513899,0.072658854
2015,1,6,19,0,0.011841617,0.009880567
2015,1,6,20,0,0,0
2015,1,6,21,0,0,0
2015,1,6,22,0,0,0
2015,1,6,23,0,0,0
2015,1,7,0,0,0,0
2015,1,7,1,0,0,0
2015,1,7,2,0,0,0
2015,1,7,3,0,0,0
2015,1,7,4,0,0,0
2015,1,7,5,0,4.50616E-05,3.32985E-06
2015,1,7,6,0,0.025409669,0.020572845
2015,1,7,7,0,0.095132588,0.10475642
2015,1,7,8,0,0.176356906,0.199826611
2015,1,7,9,0,0.168423785,0.175694017
2015,1,7,10,0,0.181126679,0.204675425
2015,1,7,11,0,0.307728199,0.308845713
2015,1,7,12,0,0.415585359,0.385705501
2015,1,7,13,0,0.371831199,0.353541767
2015,1,7,14,0,0.317364236,0.301533331
2015,1,7,15,0,0.295282506,0.277857732
2015,1,7,16,0,0.273596273,0.266264672
2015,1,7,17,0,0.204859289,0.190080905
2015,1,7,18,0,0.095088767,0.074211105
2015,1,7,19,0,0.012497644,0.009386012
2015,1,7,20,0,0,0
2015,1,7,21,0,0,0
2015,1,7,22,0,0,0
2015,1,7,23,0,0,0
2015,1,8,0,0,0,0
2015,1,8,1,0,0,0
2015,1,8,2,0,0,0
2015,1,8,3,0,0,0
2015,1,8,4,0,0,0
2015,1,8,5,0,6.4152E-05,2.2199E-06
2015,1,8,6,0,0.027257101,0.025391584
2015,1,8,7,0,0.10613754,0.111659803
2015,1,8,8,0,0.159810945,0.191326562
2015,1,8,9,0,0.324724481,0.351347809
2015,1,8,10,0,0.465723332,0.462128081
2015,1,8,11,0,0.515462819,0.512636611
2015,1,8,12,0,0.580448982,0.561631594
2015,1,8,13,0,0.482584006,0.458354129
2015,1,8,14,0,0.368067535,0.369774976
2015,1,8,15,0,0.278294051,0.307072496
2015,1,8,16,0,0.256729818,0.273615274
2015,1,8,17,0,0.150772598,0.140997897
2015,1,8,18,0,0.065175592,0.054564009
2015,1,8,19,0,0.011338091,0.010472121
2015,1,8,20,0,0,0
2015,1,8,21,0,0,0
2015,1,8,22,0,0,0
2015,1,8,23,0,0,0
2015,1,9,0,0,0,0
2015,1,9,1,0,0,0
2015,1,9,2,0,0,0
2015,1,9,3,0,0,0
2015,1,9,4,0,0,0
2015,1,9,5,0,3.21218E-05,3.88482E-06
2015,1,9,6,0,0.027952507,0.020517694
2015,1,9,7,0,0.15711135,0.142493737
2015,1,9,8,0,0.327157795,0.316454198
2015,1,9,9,0,0.461937458,0.433363211
2015,1,9,10,0,0.560459136,0.520381515
2015,1,9,11,0,0.64516038,0.602071553
2015,1,9,12,0,0.66526622,0.63307256
2015,1,9,13,0,0.665154897,0.603781123
2015,1,9,14,0,0.607106441,0.57670137
2015,1,9,15,0,0.505056296,0.483634287
2015,1,9,16,0,0.407844102,0.384883886
2015,1,9,17,0,0.226455155,0.213050691
2015,1,9,18,0,0.079791193,0.063520789
2015,1,9,19,0,0.007916942,0.008180563
2015,1,9,20,0,0,0
2015,1,9,21,0,0,0
2015,1,9,22,0,0,0
2015,1,9,23,0,0,0
2015,1,10,0,0,0,0
2015,1,10,1,0,0,0
2015,1,10,2,0,0,0
2015,1,10,3,0,0,0
2015,1,10,4,0,0,0
2015,1,10,5,0,2.11406E-05,0
2015,1,10,6,0,0.018797886,0.018103111
2015,1,10,7,0,0.130023446,0.128898404
2015,1,10,8,0,0.277719009,0.282071805
2015,1,10,9,0,0.456993223,0.469809491
2015,1,10,10,0,0.589212442,0.579183779
2015,1,10,11,0,0.636470764,0.611671978
2015,1,10,12,0,0.666360781,0.640528623
2015,1,10,13,0,0.692356681,0.671261973
2015,1,10,14,0,0.65146938,0.637702383
2015,1,10,15,0,0.555875127,0.551308943
2015,1,10,16,0,0.430990551,0.410567012
2015,1,10,17,0,0.231490309,0.201300174
2015,1,10,18,0,0.077378164,0.066128551
2015,1,10,19,0,0.007729769,0.008412834
2015,1,10,20,0,0,0
2015,1,10,21,0,0,0
2015,1,10,22,0,0,0
2015,1,10,23,0,0,0
2015,1,11,0,0,0,0
2015,1,11,1,0,0,0
2015,1,11,2,0,0,0
2015,1,11,3,0,0,0
2015,1,11,4,0,0,0
2015,1,11,5,0,0,0
2015,1,11,6,0,0.011013296,0.014193198
2015,1,11,7,0,0.09551901,0.098331694
2015,1,11,8,0,0.166433913,0.180551644
2015,1,11,9,0,0.365652182,0.395104287
2015,1,11,10,0,0.296048911,0.285148954
2015,1,11,11,0,0.306675321,0.313610656
2015,1,11,12,0,0.327577793,0.333644136
2015,1,11,13,0,0.307924262,0.310513913
2015,1,11,14,0,0.207276376,0.195424118
2015,1,11,15,0,0.202130559,0.190822677
2015,1,11,16,0,0.144803651,0.145231309
2015,1,11,17,0,0.08822831,0.088820563
2015,1,11,18,0,0.032680939,0.032948963
2015,1,11,19,0,0.004541678,0.006424727
2015,1,11,20,0,0,0
2015,1,11,21,0,0,0
2015,1,11,22,0,0,0
2015,1,11,23,0,0,0
2015,1,12,0,0,0,0
2015,1,12,1,0,0,0
2015,1,12,2,0,0,0
2015,1,12,3,0,0,0
2015,1,12,4,0,0,0
2015,1,12,5,0,0,0
2015,1,12,6,0,0.009424237,0.010675818
2015,1,12,7,0,0.074003048,0.074919104
2015,1,12,8,0,0.191835851,0.190807786
2015,1,12,9,0,0.264559827,0.265744259
2015,1,12,10,0,0.404330142,0.420393338
2015,1,12,11,0,0.526837045,0.532394165
2015,1,12,12,0,0.429984821,0.442697898
2015,1,12,13,0,0.3312695,0.377228065
2015,1,12,14,0,0.263558009,0.283864207
2015,1,12,15,0,0.261508192,0.278434067
2015,1,12,16,0,0.206621786,0.208848636
2015,1,12,17,0,0.131626839,0.125323508
2015,1,12,18,0,0.052744852,0.056623356
2015,1,12,19,0,0.007128304,0.008772145
2015,1,12,20,0,0,0
2015,1,12,21,0,0,0
2015,1,12,22,0,0,0
2015,1,12,23,0,0,0
2015,1,13,0,0,0,0
2015,1,13,1,0,0,0
2015,1,13,2,0,0,0
2015,1,13,3,0,0,0
2015,1,13,4,0,0,0
2015,1,13,5,0,0,0
2015,1,13,6,0,0.009003317,0.010715064
2015,1,13,7,0,0.06588492,0.067594853
2015,1,13,8,0,0.181199867,0.184503562
2015,1,13,9,0,0.353279974,0.351861759
2015,1,13,10,0,0.32825675,0.320172177
2015,1,13,11,0,0.344693744,0.372309602
2015,1,13,12,0,0.281504966,0.280453536
